Company,Item,Category,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbs (g),Fiber (g),Sugars (g),Protein (g)
McDonald’s,Diet Coke (Large),Drink,0,0,0,0,0,45,0,0,0,0
McDonald’s,Sprite (Child),Drink,110,0,0,0,0,30,28,0,28,0
McDonald’s,Sprite (Small),Drink,150,0,0,0,0,40,39,0,39,0
McDonald’s,Sprite (Medium),Drink,210,0,0,0,0,55,56,0,56,0
McDonald’s,Sprite (Large),Drink,310,0,0,0,0,80,83,0,83,0
McDonald’s,Hi-C Orange Lavaburst (Child),Drink,120,0,0,0,0,0,32,0,32,0
McDonald’s,Hi-C Orange Lavaburst (Small),Drink,160,0,0,0,0,5,44,0,44,0
McDonald’s,Hi-C Orange Lavaburst (Medium),Drink,240,0,0,0,0,10,64,0,64,0
McDonald’s,Hi-C Orange Lavaburst (Large),Drink,350,0,0,0,0,10,94,0,94,0
McDonald’s,POWERade Mountain Blast (Child),Drink,70,0,0,0,0,65,20,0,16,0
McDonald’s,POWERade Mountain Blast (Small),Drink,100,0,0,0,0,85,27,0,21,0
McDonald’s,POWERade Mountain Blast (Medium),Drink,150,0,0,0,0,130,39,0,31,0
McDonald’s,POWERade Mountain Blast (Large),Drink,220,0,0,0,0,190,58,0,46,0
McDonald’s,Iced Tea (Child),Drink,0,0,0,0,0,5,0,0,0,0
McDonald’s,Iced Tea (Small),Drink,0,0,0,0,0,10,0,0,0,0
McDonald’s,Iced Tea (Medium),Drink,0,0,0,0,0,15,0,0,0,0
McDonald’s,Iced Tea (Large),Drink,0,0,0,0,0,20,1,0,0,0
McDonald’s,Coffee (Small),Drink,0,0,0,0,0,0,0,0,0,0
McDonald’s,Coffee (Large),Drink,0,0,0,0,0,0,0,0,0,0
McDonald’s,Coffee Cream,Condiment,20,2,1.5,0,10,15,0,0,0,0
McDonald’s,Sugar Packet,Condiment,15,0,0,0,0,0,4,0,4,0
McDonald’s,"EQUAL 0 Calorie Sweetener",Condiment,0,0,0,0,0,0,1,0,1,0
McDonald’s,"SPLENDA No Calorie Sweetener",Condiment,0,0,0,0,0,0,1,0,1,0
McDonald’s,Iced Coffee– Caramel (Small),Drink,130,5,3.5,0,20,80,21,0,20,1
McDonald’s,Iced Coffee– Caramel (Medium),Drink,190,8,5,0,30,115,27,0,27,2
McDonald’s,Iced Coffee– Caramel (Large),Drink,270,11,7,0,40,160,41,0,41,2
McDonald’s,Iced Coffee– Hazelnut (Small),Drink,130,5,3.5,0,20,40,21,0,21,1
McDonald’s,Iced Coffee– Hazelnut (Medium),Drink,190,8,5,0,30,60,29,0,29,2
McDonald’s,Iced Coffee– Hazelnut (Large),Drink,270,11,7,0,40,85,43,0,43,2
McDonald’s,Iced Coffee– Regular (Small),Drink,140,5,3.5,0,20,40,22,0,22,1
McDonald’s,Iced Coffee– Regular (Medium),Drink,200,8,5,0,30,60,30,0,30,2
McDonald’s,Iced Coffee– Regular (Large),Drink,280,11,7,0,40,85,45,0,45,2
McDonald’s,Iced Coffee– Vanilla (Small),Drink,130,5,3.5,0,20,40,21,0,21,1
McDonald’s,Iced Coffee– Vanilla (Medium),Drink,190,8,5,0,30,60,29,0,28,2
McDonald’s,Iced Coffee– Vanilla (Large),Drink,270,11,7,0,40,80,43,0,43,2
McDonald’s,Iced Coffee with Sugar Free Vanilla Syrup (Small),Drink,60,5,3.5,0,20,70,8,0,1,1
McDonald’s,Iced Coffee with Sugar Free Vanilla Syrup (Medium),Drink,90,8,5,0,30,100,11,0,2,2
McDonald’s,Iced Coffee with Sugar Free Vanilla Syrup (Large),Drink,120,11,7,0,40,140,16,0,2,2
McDonald’s,Sweet Tea (Child),Drink,110,0,0,0,0,5,27,0,27,0
McDonald’s,Sweet Tea (Large),Drink,280,0,0,0,0,15,69,0,69,1
McDonald’s,Sweet Tea (Small),Drink,150,0,0,0,0,10,36,0,36,1
McDonald’s,Sweet Tea (Medium),Drink,180,0,0,0,0,10,45,0,45,1
McDonald’s,Nonfat Cappuccino (Small),Drink,60,0,0,0,5,85,9,0,9,6
McDonald’s,Nonfat Cappuccino (Medium),Drink,80,0,0,0,5,110,12,0,12,8
McDonald’s,Nonfat Cappuccino (Large),Drink,90,0,0,0,5,130,13,0,13,9
McDonald’s,Nonfat Latte (Small),Drink,90,0,0,0,5,115,13,0,13,9
McDonald’s,Nonfat Latte (Medium),Drink,110,0,0,0,5,140,15,0,15,10
McDonald’s,Nonfat Latte (Large),Drink,120,0,0,0,5,160,18,0,18,12
McDonald’s,Nonfat Caramel Cappuccino (Small),Drink,150,0,0,0,5,120,33,0,32,5
McDonald’s,Nonfat Caramel Cappuccino (Medium),Drink,190,0,0,0,5,150,41,0,41,6
McDonald’s,Nonfat Caramel Cappuccino (Large),Drink,230,0,0,0,5,180,49,0,49,7
McDonald’s,Nonfat Caramel Latte (Small),Drink,170,0,0,0,5,150,36,0,36,7
McDonald’s,Nonfat Caramel Latte (Medium),Drink,220,0,0,0,5,180,45,0,45,9
McDonald’s,Nonfat Caramel Latte (Large),Drink,260,0,0,0,5,220,53,0,53,10
McDonald’s,Nonfat Hazelnut Cappuccino (Small),Drink,150,0,0,0,5,70,34,0,34,5
McDonald’s,Nonfat Hazelnut Cappuccino (Medium),Drink,190,0,0,0,5,90,43,0,43,6
McDonald’s,Nonfat Hazelnut Cappuccino (Large),Drink,230,0,0,0,5,100,51,0,51,7
McDonald’s,Nonfat Hazelnut Latte (Small),Drink,180,0,0,0,5,95,37,0,37,7
McDonald’s,Nonfat Hazelnut Latte (Medium),Drink,220,0,0,0,5,115,46,0,46,9
McDonald’s,Nonfat Hazelnut Latte (Large),Drink,260,0,0,0,5,135,55,0,55,10
McDonald’s,Nonfat Vanilla Cappuccino (Small),Drink,150,0,0,0,5,70,34,0,34,5
McDonald’s,Nonfat Vanilla Cappuccino (Medium),Drink,190,0,0,0,5,90,42,0,42,6
McDonald’s,Nonfat Vanilla Cappuccino (Large),Drink,230,0,0,0,5,100,51,0,51,7
McDonald’s,Nonfat Vanilla Latte (Small),Drink,180,0,0,0,5,95,37,0,37,7
McDonald’s,Nonfat Vanilla Latte (Medium),Drink,220,0,0,0,5,115,46,0,46,9
McDonald’s,Nonfat Vanilla Latte (Large),Drink,260,0,0,0,5,135,55,0,55,10
McDonald’s,Nonfat Cappuccino with Sugar Free Vanilla Syrup (Small),Drink,50,0,0,0,5,100,15,0,8,5
McDonald’s,Nonfat Cappuccino with Sugar Free Vanilla Syrup (Medium),Drink,70,0,0,0,5,130,19,0,10,7
McDonald’s,Nonfat Cappuccino with Sugar Free Vanilla Syrup (Large),Drink,80,0,0,0,5,150,22,0,11,8
McDonald’s,Nonfat Latte with Sugar Free Vanilla Syrup (Small),Drink,80,0,0,0,5,130,18,0,11,7
McDonald’s,Nonfat Latte with Sugar Free Vanilla Syrup (Medium),Drink,90,0,0,0,5,160,22,0,13,9
McDonald’s,Nonfat Latte with Sugar Free Vanilla Syrup (Large),Drink,110,0,0,0,5,190,27,0,15,11
McDonald’s,Mocha with Nonfat Milk (Small),Drink,240,5,3,0,5,130,41,0,34,7
McDonald’s,Mocha with Nonfat Milk (Medium),Drink,280,6,3.5,0,10,160,50,0,42,8
McDonald’s,Mocha with Nonfat Milk (Large),Drink,330,6,3.5,0,10,190,58,0,50,10
McDonald’s,Hot Chocolate with Nonfat Milk (Small),Drink,250,5,3,0,10,140,43,0,37,8
McDonald’s,Hot Chocolate with Nonfat Milk (Medium),Drink,310,6,3.5,0,10,190,55,0,47,11
McDonald’s,Hot Chocolate with Nonfat Milk (Large),Drink,390,6,3.5,0,10,250,68,0,59,16
McDonald’s,Iced Nonfat Latte (Small),Drink,50,0,0,0,5,70,7,0,7,5
McDonald’s,Iced Nonfat Latte (Medium),Drink,60,0,0,0,5,90,9,0,9,6
McDonald’s,Iced Nonfat Latte (Large),Drink,70,0,0,0,5,105,11,0,11,7
McDonald’s,Iced Nonfat Caramel Latte (Small),Drink,140,0,0,0,0,105,30,0,30,3
McDonald’s,Iced Nonfat Caramel Latte (Medium),Drink,150,0,0,0,5,120,32,0,32,5
McDonald’s,Iced Nonfat Caramel Latte (Large),Drink,190,0,0,0,5,150,40,0,40,6
McDonald’s,Iced Nonfat Hazelnut Latte (Small),Drink,140,0,0,0,0,50,32,0,32,3
McDonald’s,Iced Nonfat Hazelnut Latte (Medium),Drink,150,0,0,0,5,70,33,0,33,5
McDonald’s,Iced Nonfat Hazelnut Latte (Large),Drink,190,0,0,0,5,80,42,0,42,6
McDonald’s,Iced Nonfat Vanilla Latte (Small),Drink,140,0,0,0,0,50,31,0,31,3
McDonald’s,Iced Nonfat Vanilla Latte (Medium),Drink,150,0,0,0,5,70,33,0,33,5
McDonald’s,Iced Nonfat Vanilla Latte (Large),Drink,190,0,0,0,5,85,41,0,41,6
McDonald’s,Iced Nonfat Latte with Sugar Free Vanilla Syrup (Small),Drink,40,0,0,0,0,85,13,0,5,4
McDonald’s,Iced Nonfat Latte with Sugar Free Vanilla Syrup (Medium),Drink,50,0,0,0,5,100,14,0,6,5
McDonald’s,Iced Nonfat Latte with Sugar Free Vanilla Syrup (Large),Drink,60,0,0,0,5,130,19,0,8,6
McDonald’s,Iced Mocha with Nonfat Milk (Medium),Drink,270,8,4.5,0,10,140,43,0,35,7
McDonald’s,Iced Nonfat Caramel Mocha (Large),Drink,300,6,4,0,10,230,49,0,45,11
McDonald’s,Iced Nonfat Caramel Mocha (Medium),Drink,240,6,4,0,10,190,37,0,34,9
McDonald’s,Iced Nonfat Caramel Mocha (Small),Drink,200,6,4,0,10,140,29,0,26,6
McDonald’s,Nonfat Caramel Mocha (Large),Drink,280,4,2.5,0,10,260,49,0,46,12
McDonald’s,Nonfat Caramel Mocha (Medium),Drink,240,4,2.5,0,5,200,41,0,38,9
McDonald’s,Nonfat Caramel Mocha (Small),Drink,200,4,2.5,0,5,170,34,0,31,8
McDonald’s,Cappuccino (Small),Drink,120,7,4,0,20,85,9,0,9,6
McDonald’s,Cappuccino (Medium),Drink,140,8,4.5,0,25,105,11,0,11,8
McDonald’s,Cappuccino (Large),Drink,180,10,6,0,30,130,13,0,13,9
McDonald’s,Latte (Small),Drink,150,8,4.5,0,25,105,11,0,11,8
McDonald’s,Latte (Medium),Drink,180,10,6,0,30,130,13,0,13,10
McDonald’s,Latte (Large),Drink,210,11,7,0,35,150,16,0,16,11
McDonald’s,Caramel Cappuccino (Small),Drink,200,5,3,0,15,125,32,0,32,5
McDonald’s,Caramel Cappuccino (Medium),Drink,240,6,3.5,0,20,150,41,0,40,6
McDonald’s,Caramel Cappuccino (Large),Drink,290,8,4.5,0,25,190,49,0,49,8
McDonald’s,Caramel Latte (Small),Drink,230,7,4,0,20,140,35,0,35,7
McDonald’s,Caramel Latte (Medium),Drink,280,8,4.5,0,25,170,43,0,43,8
McDonald’s,Caramel Latte (Large),Drink,330,9,5,0,30,210,52,0,51,9
McDonald’s,Hazelnut Cappuccino (Small),Drink,200,5,3,0,15,70,34,0,34,5
McDonald’s,Hazelnut Cappuccino (Medium),Drink,240,6,3.5,0,20,85,42,0,42,6
McDonald’s,Hazelnut Cappuccino (Large),Drink,290,8,4.5,0,25,105,51,0,51,7
McDonald’s,Hazelnut Latte (Small),Drink,230,7,4,0,20,90,36,0,36,7
McDonald’s,Hazelnut Latte (Medium),Drink,280,8,4.5,0,25,110,45,0,45,8
McDonald’s,Hazelnut Latte (Large),Drink,330,9,5,0,30,130,53,0,53,9
