Company,Item,Category,Calories,Total_Fat_g,Saturated_Fat_g,Trans_Fat_g,Cholesterol_mg,Sodium_mg,Carbs_g,Fiber_g,Sugars_g,Protein_g
McDonalds,McFlurry with M&M’S Candies (12 fl oz cup),Dessert,710.0,25.0,16.0,1.0,60,220,105,4,97,15.0
McDonalds,McFlurry with OREO Cookies (12 fl oz cup),Dessert,580.0,19.0,10.0,1.0,50,320,89,3,73,13.0
McDonalds,Baked Hot Apple Pie,Dessert,250.0,13.0,7.0,0.0,0,170,32,4,13,2.0
McDonalds,Cinnamon Melts,Dessert,460.0,19.0,9.0,0.0,15,370,66,3,32,6.0
McDonalds,McDonaldland Cookies,Dessert,260.0,8.0,2.5,0.0,0,300,43,1,13,4.0
McDonalds,Chocolate Chip Cookie,Dessert,160.0,8.0,3.5,0.0,10,90,21,1,15,2.0
McDonalds,Oatmeal Raisin Cookie,Dessert,150.0,6.0,2.5,0.0,10,135,22,1,13,2.0
McDonalds,Sugar Cookie,Dessert,160.0,7.0,3.0,0.0,5,120,21,0,11,2.0
McDonalds,Apple Dippers with Low Fat Caramel Dip,Snack,100.0,0.5,0.0,0.0,5,35,23,0,15,0.0
McDonalds,Chocolate McCafé Shake (12 fl oz cup),Drink,580.0,17.0,10.0,1.0,50,240,94,1,77,11.0
McDonalds,Chocolate McCafé Shake (16 fl oz cup),Drink,720.0,20.0,12.0,1.0,60,300,119,1,98,15.0
McDonalds,Chocolate McCafé Shake (22 fl oz cup),Drink,880.0,24.0,15.0,1.5,75,370,147,1,121,18.0
McDonalds,Chocolate Triple Thick Shake (12 fl oz cup),Drink,440.0,10.0,6.0,0.5,40,190,76,1,63,10.0
McDonalds,Chocolate Triple Thick Shake (16 fl oz cup),Drink,580.0,14.0,8.0,1.0,50,250,102,1,84,13.0
McDonalds,Chocolate Triple Thick Shake (21 fl oz cup),Drink,770.0,18.0,11.0,1.0,70,330,134,1,111,18.0
McDonalds,Chocolate Triple Thick Shake (32 fl oz cup),Drink,1160.0,27.0,16.0,2.0,100,510,203,2,168,27.0
McDonalds,Snack Size McFlurry with M&M’S Candies,Dessert,430.0,16.0,10.0,0.5,35,130,64,2,59,9.0
McDonalds,Snack Size McFlurry with OREO Cookies,Dessert,340.0,12.0,6.0,0.0,30,200,53,2,43,8.0
McDonalds,Strawberry McCafé Shake (12 fl oz cup),Drink,570.0,17.0,10.0,1.0,50,170,92,0,79,11.0
McDonalds,Strawberry McCafé Shake (16 fl oz cup),Drink,710.0,20.0,12.0,1.0,65,210,116,0,100,14.0
McDonalds,Strawberry McCafé Shake (22 fl oz cup),Drink,860.0,24.0,15.0,1.5,75,260,144,0,124,18.0
McDonalds,Strawberry Triple Thick Shake (12 fl oz cup),Drink,420.0,10.0,6.0,0.5,40,130,73,0,63,10.0
McDonalds,Strawberry Triple Thick Shake (16 fl oz cup),Drink,560.0,13.0,8.0,1.0,50,170,97,0,84,13.0
McDonalds,Strawberry Triple Thick Shake (21 fl oz cup),Drink,740.0,18.0,11.0,1.0,70,230,128,0,111,17.0
McDonalds,Strawberry Triple Thick Shake (32 fl oz cup),Drink,1110.0,26.0,16.0,2.0,100,350,194,0,168,25.0
McDonalds,Vanilla McCafé Shake (12 fl oz cup),Drink,540.0,16.0,10.0,1.0,45,170,88,0,64,10.0
McDonalds,Vanilla McCafé Shake (16 fl oz cup),Drink,680.0,20.0,12.0,1.0,60,220,111,0,82,14.0
McDonalds,Vanilla McCafé Shake (22 fl oz cup),Drink,830.0,24.0,14.0,1.5,75,270,138,0,103,17.0
McDonalds,Vanilla Triple Thick Shake (32 fl oz cup),Drink,1110.0,26.0,16.0,2.0,100,370,193,0,145,25.0
